date,close,CDL_ENGULFING,CDL_HAMMER,CDL_HANGINGMAN,CDL_DOJI,CDL_MORNINGSTAR,CDL_EVENINGSTAR,CDL_3WHITESOLDIERS,CDL_3BLACKCROWS,CDL_PIERCING,CDL_DARKCLOUD,EMA_5,EMA_30,EMA_100,macd,macd_signal,macd_diff,macd_z,macd_price_slope_diff,divergence_strength,rsi,bb_ma,bb_std,bb_upper,bb_lower,bb_dist_upper,bb_dist_lower,bb_pos,bb_break_upper,bb_break_lower,bb_break_lower_cumulative,bb_break_upper_cumulative,OBV,AD,CMF,MFI,volume_avg,ForceIndex,hammer_rsi_low,engulfing_near_bb_lower,mfi_oversold_breakout,macd_bull_cross,bb_rsi_overbought,force_volume_spike,3crows_rsi_high,bullish_signals,bearish_signals,doji_rsi_extreme,hammer_bb_low,hangingman_bearish,engulfing_with_divergence,morningstar_reversal,eveningstar_reversal,soldiers_after_acc,bullish_patterns,bearish_patterns,trading_volume_usd
2025-06-01,157.77,0,0,-100,0,0,0,0,0,0,0,0.0210232798929506,0.0036803581773134,-3.0529226817233024e-05,-6.720933880143085e-05,-0.000198749956275,0.0001315406174735,2.6146465454561705,0.0001221089366105,0.0003009275321401,65.27023343360125,0.0058717205526049,0.0002604638279408,0.0063926482084867,0.0053507928967231,-0.0124752447449959,0.1734191725517145,1.0775129880014966,1,0,0,3,95190573.17000006,26443997.566231877,-0.0471240347571464,60.99505611065301,1780120.2795000002,-1468005.3528307625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167972634.42
2025-06-02,156.91,0,0,0,0,0,0,0,0,0,0,0.0133544821016906,0.0033573733528924,-5.1144261346114384e-05,-2.7319503522472456e-05,-0.0001644638657244,0.000137144362202,2.5838569669952176,8.939447120140059e-05,0.0003343491050348,60.80425807273434,0.0059115337294282,0.0002874923879804,0.006486518505389,0.0053365489534674,0.0031021625407681,0.1747339052096392,0.9825560552479038,0,0,0,2,93784001.27000006,27044031.008254036,-0.093401985655044,60.03269230341358,1729537.2905,-1798394.0337230703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217518120.62
2025-06-03,155.3,0,0,0,0,0,0,0,0,0,0,-0.0020700426816828,0.0009837864518376,-0.0006768755688491,-1.2123546418888603e-05,-0.0001339958018633,0.0001218722554444,2.366893384190582,3.722664850201468e-05,0.0002487300563139,58.20188612070251,0.0059454176706958,0.0002867417681019,0.0065189012068996,0.005371934134492,0.0411463444969706,0.1420379893032837,0.7753828417345069,0,0,0,1,92520343.87000003,26034456.59360265,-0.1013723144324104,52.7044510407654,1692391.4490000005,-2936470.2987076896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201821172.15
2025-06-04,153.31,0,0,0,0,0,0,0,0,0,0,0.0069094980636699,0.0025540443193949,-0.0001858373777468,1.2397559152555785e-05,-0.0001047171296601,0.0001171146888127,2.264820298233644,7.239284998606342e-06,0.000133860404702,64.12535652678534,0.0059745090490528,0.0003040344558232,0.0065825779606994,0.0053664401374063,0.0256936300079707,0.1638042879826383,0.8644120722780501,0,0,0,0,91564894.64000005,25179175.428210568,-0.0878046402567446,43.37421439627549,1618632.191,-4094837.4414923033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148877566.64
2025-06-05,144.38,0,0,0,0,0,0,0,0,0,0,0.0209846317885633,0.005632027495525,0.0007706091572905,5.63300161432953e-05,-7.250770049949351e-05,0.0001288377166427,2.2919119567144826,2.273198504946939e-05,6.71979185500954e-05,77.3878981450466,0.0060190982926892,0.000345464254906,0.0067100268025014,0.0053281697828771,-0.0028711656751562,0.208219001047123,1.01398196221526,1,0,0,1,89670249.32000005,24097968.35874389,-0.0850917346703734,34.370572919024724,1635630.1415,-3814080.474369228,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,281549617.46
2025-06-06,147.95,0,0,0,0,0,0,0,0,0,0,0.0131758354899418,0.0051333590407958,0.0007235874929467,8.929385598116339e-05,-4.0147389203362125e-05,0.0001294412451845,2.230314990436052,1.7846417683264723e-05,4.781768773134544e-05,80.9908887209998,0.0060551718168317,0.0003791361276391,0.0068134440721101,0.0052968995615534,0.0140350179898896,0.2116701061395819,0.9378170165873652,0,0,0,0,90769391.86000006,23986577.844935752,-0.0749842630306665,38.70198498213372,1624739.1925,-3677033.4239999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163583793.09
2025-06-07,150.16,0,0,0,0,0,0,0,0,0,0,0.0044839269125127,0.0039295710024098,0.0004577178810687,0.0001075425950605,-1.0609392350586144e-05,0.0001181519874111,2.0891356840351563,7.117091445964231e-06,4.769549417870333e-05,75.73528331188768,0.0060938031844618,0.000397575994398,0.0068889551732579,0.0052986511956657,0.0379768999688349,0.201638361148992,0.8415088430024479,0,0,0,0,91376018.24000004,24027705.057132173,-0.1001810365254141,44.05981636871973,1568474.609,-3557483.75070769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91401983.83
2025-06-08,152.53,0,0,0,0,0,0,0,0,0,0,0.0014299552023586,0.0033482539527223,0.0003553593746972,0.0001181806932491,1.5148624769370245e-05,0.0001030320684798,1.9313632415999296,4.296395872959817e-05,6.792746785883211e-05,72.87960071446591,0.0061200852860018,0.0004137144759723,0.0069475142379466,0.0052926563340571,0.0516344226314169,0.1988588439801862,0.7938690195953348,0,0,0,0,91936659.74000004,24154101.41188648,-0.1023300852680702,43.67521004394272,1495046.605,-3382439.5211461503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84863431.72
2025-06-09,161.23,0,0,0,0,0,0,0,0,0,0,-0.0074263509450426,0.0014265554991279,-0.0001568312242652,0.0001119600857035,3.451091695621082e-05,7.744916874736224e-05,1.7256854778254291,-1.5285649674271103e-05,3.479540050129628e-05,71.6806117950582,0.0061443572339678,0.0004177630325267,0.0069798832990214,0.0053088311689142,0.0836950546600786,0.1757521096972739,0.6774100234728322,0,0,0,0,93090264.53000006,25206311.419261917,-0.0658940816473983,44.17844108513263,1465073.4065,-2816809.740946153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179108410.9
2025-06-10,165.14,0,0,0,0,0,0,0,0,0,0,-0.0176039006147388,-0.0011974763595292,-0.0009086903050887,8.606894012436802e-05,4.4822521589842266e-05,4.124641853452575e-05,1.4671005915918425,-0.0001131485240792,-8.547021502389803e-05,63.16181568953676,0.0061604930293497,0.0004128372926185,0.0069861676145869,0.0053348184441126,0.1280121712901376,0.138620704716942,0.5198935209822414,0,0,0,0,94839210.57000008,26751716.32512986,-0.0622700716846019,54.184309903401264,1424145.4264999998,-1845908.643223076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282391223.47
